In (mV),Out (mV),? Signal Generator,,Old:,In (mV),Out (mV),,Power Supply:,In (mV),Out (mV)
4,1040,,,,5,760,,,4.77,1145
5,1360,,,,10,1280,,,,
6,1520,,,,12,1480,,,,
7,1600,,,,18,2080,,,,
8,1760,,,,21,2400,,,,
9,2000,,,,30,3440,,,,
10,2000,,,,35,3920,,,,
11,2080,,,,45,4560,,,,
12,2240,,,,,,,,,
13,2400,,,,,,,,,
14,2480,,,,,,,,,
15,2560,,,,,,,,,
16,2720,,,,,,,,,
17,2880,,,,,,,,,
18,3040,,,,,,,,,
19,3120,,,,,,,,,
20,3280,,,,,,,,,
21,3360,,,,,,,,,
22,3520,,,,,,,,,
23,3600,,,,,,,,,
24,3760,,,,,,,,,
25,2840,,,,,,,,,
